-,Klebsiella pneumoniae (Carbapenemasen)
-,Klebsiella pneumoniae (ESBL)
-,Klebsiella pneumoniae (MBL)
-,Klebsiella variicola
-,Kluyvera ascorbata
-,Kluyvera ascorbata (Carbapenemasen)
-,Kluyvera cryocrescens
+,Kocuria kristinae
+,Kocuria palustris
+,Kocuria rhizophila
+,Kocuria rosea
+,Kocuria varians
+,Lactobacillus casei
+,Lactobacillus fermentum
+,Lactobacillus pentosus
+,Lactobacillus rhamnosus
+,Lactobacillus salivarius
+,Lactococcus garviae
+,Lactococcus lactis
-,Leclercia adecarboxylata
+,Leuconostoc lactis
+,Listeria monocytogenes
+,Lysinibacillus fusiformis
+,Macrococcus caseolyticus
+,Micrococcus cohnii
+,Micrococcus luteus
+,Micrococcus lylae
-,Morganella morganii
-,Morganella morganii (ESBL)
-,Mycobacterium abscessus ssp. bolletii
-,Mycobacterium abscessus ssp. massiliense
-,Mycobacterium avium
-,Mycobacterium celatum
-,Mycobacterium chimaera
-,Mycobacterium fortuitum
-,Mycobacterium gordonae
-,Mycobacterium intracellulare
-,Mycobacterium kansasii
-,Mycobacterium szulgai
-,Myroides odoratimimus
-,Neisseria animaloris
-,Neisseria zoodegmatis
+,Nocardia farcinica
+,Nocardia paucivorans
-,Obesumbacterium proteus
-,Ochrobactrum anthropi
-,Ochrobactrum intermedium
-,Oligella urethralis
+,Paenibacillus durum
+,Paenibacillus glucanolyticus
+,Paenibacillus lautus
+,Paenibacillus macerans
+,Paenibacillus pabuli
+,Paenibacillus provencensis
+,Paenibacillus thiaminolyticus
-,Pandoraea pulmonicola
-,Pantoea agglomerans
-,Pantoea agglomerans (ESBL)
-,Pantoea dispersa
-,Paracoccus yeei
-,Pasteurella canis
-,Pasteurella dagmatis
-,Pasteurella multocida
-,Pasteurella stomatis
-,Pectobacterium carotovorum
+,Pediococcus pentosaceus
-,Proteus hauseri
-,Proteus mirabilis
-,Proteus mirabilis (ESBL)
-,Proteus penneri
-,Proteus vulgaris
-,Proteus vulgaris (Carbapenemase)
-,Proteus vulgaris (ESBL)
-,Providencia alcalifaciens
-,Providencia rettgeri
-,Providencia rettgeri (ESBL)
-,Providencia stuartii
-,Pseudocitrobacter faecalis
+,Pseudoglutamicibacter cumminsii
-,Pseudomonas aeruginosa
-,Pseudomonas aeruginosa (Carbapenemase)
-,Pseudomonas aeruginosa (MBL)
-,Pseudomonas aeruginosa ATCC 27853
-,Pseudomonas alcaligenes
-,Pseudomonas anguilliseptica
-,Pseudomonas chlororaphis
-,Pseudomonas fluorescens
-,Pseudomonas fluorescens (MBL)
-,Pseudomonas fragi
-,Pseudomonas luteola
-,Pseudomonas mendocina
-,Pseudomonas mosselii
-,Pseudomonas oleovorans
-,Pseudomonas oryzihabitans
-,Pseudomonas oryzihabitans (Carbapenemase)
-,Pseudomonas putida
-,Pseudomonas putida (Carbapenemase)
-,Pseudomonas putida (MBL)
-,Pseudomonas rhodesiae
-,Pseudomonas straminea
-,Pseudomonas stutzeri
-,Pseudomonas stutzeri (MBL)
-,Pseudomonas viridiflava
-,Pseudomonas viridiflava (MBL)
-,Psychrobacter phenylpyruvicus
-,Rahnella aquati
-,Rahnella aquatilis
-,Ralstonia mannitolilytica
-,Ralstonia pickettii
-,Raoultella ornithinolytica
-,Raoultella ornithinolytica (Carbapenemase)
-,Raoultella ornithinolytica (ESBL)
-,Raoultella planticola
-,Raoultella terrigena
-,Rheinheimera aquimaris
-,Rhizobium radiobacter
+,Rhodococcus hoagii
-,Roseomonas mucosa
+,Rothia dentocariosa
+,Rothia mucilaginosa
-,Salmonella Arizonae
-,Salmonella Bareilly
-,Salmonella Bata
-,Salmonella Bispebjerg
-,Salmonella Blockley
-,Salmonella Braenderup
-,Salmonella Brandenburg
-,Salmonella Choleraesuis
-,Salmonella Emek
-,Salmonella Enteritidis
-,Salmonella Epalinges
-,Salmonella Gruppe C
-,Salmonella Hadar
-,Salmonella Infantis
-,Salmonella Kenya
-,Salmonella Kintambo
-,Salmonella Newport
-,Salmonella Panama
-,Salmonella Paratyphi B
-,Salmonella Poona
-,Salmonella Saint-Paul
-,Salmonella Tennessee
-,Salmonella Typhimurium
-,Salmonella Virchow
-,Salmonella abony
-,Salmonella arizonae
-,Salmonella brandenburg
-,Salmonella bredeney
-,Salmonella enteritidis
-,Salmonella infantis
-,Salmonella kentucky
-,Salmonella ohio
-,Salmonella paratyphi A
-,Salmonella paratyphi B
-,Salmonella stanley
-,Salmonella typhi
-,Salmonella typhimurium
-,Salmonella virchow
-,Serratia ficaria
-,Serratia fonticola
-,Serratia grimesii
-,Serratia liquefaciens
-,Serratia marcescens
-,Serratia marcescens (ESBL)
-,Serratia odorifera
-,Serratia plymuthica
-,Serratia proteamaculans
-,Serratia rubidaea
-,Shewanella algae
-,Shewanella putrefaciens
-,Sphingobacterium multivorum
-,Sphingobacterium multivorum (MBL)
-,Sphingobacterium parapaucimobilis
-,Sphingobacterium spiritivorum
-,Sphingomonas parapaucimobilis
-,Sphingomonas paucimobilis
+,Sporosarcina contaminans
+,Staphylococcus aureus
+,Staphylococcus aureus (PVL)
+,Staphylococcus aureus ***MRSA***
+,Staphylococcus aureus ATCC 29213
+,Staphylococcus aureus ATCC 43300
+,Staphylococcus aureus***MRSA***(PVL)
+,Staphylococcus auricularis
+,Staphylococcus capitis
+,Staphylococcus capitis ssp. ureolyticus
+,Staphylococcus caprae
+,Staphylococcus carnosus
+,Staphylococcus chromogenes
+,Staphylococcus cohnii
+,Staphylococcus cohnii ssp. urealyticus
+,Staphylococcus delphini
+,Staphylococcus epidermidis
+,Staphylococcus equorum
+,Staphylococcus felis
+,Staphylococcus haemolyticus
+,Staphylococcus hominis
+,Staphylococcus hominis ssp. hominis
+,Staphylococcus intermedius
+,Staphylococcus kloosii
+,Staphylococcus lentus
+,Staphylococcus lugdunensis
+,Staphylococcus pasteuri
+,Staphylococcus pettenkoferi
+,Staphylococcus piscifermentans
+,Staphylococcus pseudointermedius
+,Staphylococcus saccharolyticus
+,Staphylococcus saprophyticus
+,Staphylococcus schleiferi
+,Staphylococcus sciuri
+,Staphylococcus simulans
+,Staphylococcus succinus
+,Staphylococcus vitulinus
+,Staphylococcus warneri
+,Staphylococcus xylosus
-,Stenotrophomonas maltophilia
-,Stenotrophomonas rhizophila
+,Streptococcus agalactiae
+,Streptococcus anginosus
+,Streptococcus gallolyticus
+,Streptococcus gallolyticus ssp. gallolyticus
+,Streptococcus gallolyticus ssp. pasteurianus
+,Streptococcus mitis
+,Streptococcus mitis-Gruppe
+,Streptococcus pyogenes
+,Streptococcus salivarius
+,Streptococcus suis
+,Streptococcus vestibularis
+,Streptomyces albidoflavus
+,Streptomyces costaricanus
+,Streptomyces thermoviolaceus
+,Vagococcus fluvialis
-,Vibrio alginolyticus
-,Vibrio vulnificus
-,Yersinia enterocolitica
-,Yokenella regensburgei
