species,substance,delta
P. aeruginosa,PIT,-0.3974
P. aeruginosa,TOB,0.0827
P. aeruginosa,AMK,0.6579
P. aeruginosa,AZT,1.5688
P. aeruginosa,CAZ,0.3509
P. aeruginosa,CIP,-0.0836
P. aeruginosa,COL,0.4244
P. aeruginosa,IMP,0.4677
P. aeruginosa,LEV,0.0335
P. aeruginosa,MER,0.1096
P. aeruginosa,PIP,-25.3111
P. aeruginosa,PIT,1.592
P. aeruginosa,TOB,-0.1214
S. aureus,AMK,-0.6368
S. aureus,AMS,0.7182
S. aureus,CIP,-0.0695
S. aureus,CLI,-0.1094
S. aureus,CTX,-0.5671
S. aureus,CXM,-0.4361
S. aureus,DOX,-0.1314
S. aureus,DPT,-0.2434
S. aureus,FOS,252.8452
S. aureus,GEN,-0.349
S. aureus,IMP,-0.0252
S. aureus,LEV,-0.0212
S. aureus,LIZ,0.1361
S. aureus,MER,-0.0757
S. aureus,MOX,-0.0556
S. aureus,PIT,1.3024
S. aureus,RAM,-0.0304
S. aureus,ROX,-0.9034
S. aureus,SXT,-0.0472
S. aureus,TOB,26.6875
S. aureus,TPL,-0.174
S. aureus,VAN,-0.4024
S. aureus,AMK,-1.3788
S. aureus,AMS,-0.684
S. aureus,CIP,-0.1942
S. aureus,CLI,-0.218
S. aureus,CTX,-3.0703
S. aureus,CXM,-3.8542
S. aureus,DOX,-0.1191
S. aureus,DPT,-0.3342
S. aureus,FOS,12.0763
S. aureus,GEN,-0.6152
S. aureus,IMP,-0.2073
S. aureus,LEV,-0.7541
S. aureus,LIZ,-0.2444
S. aureus,MER,-0.3458
S. aureus,MOX,-0.2037
S. aureus,PIT,-0.9353
S. aureus,RAM,-0.0288
S. aureus,ROX,-1.6187
S. aureus,SXT,-0.1135
S. aureus,TOB,-2.5613
S. aureus,TPL,-0.2272
S. aureus,VAN,0.1202
Ent. faecalis,AMS,-3.5793
Ent. faecalis,IMP,-3.7002
Ent. faecalis,LIZ,1.1518
Ent. faecalis,PIP,-2.0659
Ent. faecalis,PIT,-12.8299
Ent. faecalis,SXT,-0.4054
Ent. faecalis,TPL,-0.1649
Ent. faecalis,VAN,-0.0991
S. aureus,AMK,-9.4281
S. aureus,AMS,-0.7878
S. aureus,CIP,-1.1364
S. aureus,CLI,-0.8208
S. aureus,CTX,-5.2867
S. aureus,CXM,-10.3029
S. aureus,DOX,-0.472
S. aureus,DPT,-0.1685
S. aureus,FOS,-9.9112
S. aureus,GEN,-5.6127
S. aureus,IMP,-0.392
S. aureus,LEV,-0.8195
S. aureus,LIZ,0.1532
S. aureus,MER,-0.8024
S. aureus,MOX,-0.2493
S. aureus,PIT,-2.2511
S. aureus,RAM,-0.1309
S. aureus,ROX,-2.856
S. aureus,SXT,1.7991
S. aureus,TOB,7.2531
S. aureus,TPL,0.2004
S. aureus,VAN,0.0278
P. aeruginosa,AMK,0.5347
P. aeruginosa,AZT,-2.8235
P. aeruginosa,CAZ,2.3193
P. aeruginosa,CIP,-0.104
P. aeruginosa,COL,0.4102
P. aeruginosa,IMP,3.3532
P. aeruginosa,LEV,0.0112
P. aeruginosa,MER,-0.0964
P. aeruginosa,PIP,-39.5021
P. aeruginosa,PIT,-0.07
P. aeruginosa,TOB,0.5817
Ent. faecalis,AMS,-0.1918
Ent. faecalis,IMP,0.9822
Ent. faecalis,LIZ,1.0099
Ent. faecalis,PIP,32.99
Ent. faecalis,PIT,0.1023
Ent. faecalis,SXT,-0.1888
Ent. faecalis,TPL,-0.1207
Ent. faecalis,VAN,-0.1073
S. aureus,AMK,-0.0252
S. aureus,AMS,-0.3611
S. aureus,CIP,-0.328
S. aureus,CLI,-0.1055
S. aureus,CTX,-1.0963
S. aureus,CXM,-1.1416
S. aureus,DOX,-0.0997
S. aureus,DPT,0.0483
S. aureus,FOS,4.8888
S. aureus,GEN,-0.2272
S. aureus,IMP,-0.0863
S. aureus,LEV,-0.216
S. aureus,LIZ,0.2155
S. aureus,MER,-0.1601
S. aureus,MOX,-0.1108
S. aureus,PIT,-0.9105
S. aureus,RAM,-0.0229
S. aureus,ROX,-1.1134
S. aureus,SXT,-0.0761
S. aureus,TOB,10.048
S. aureus,TPL,0.1667
S. aureus,VAN,0.1215
P. aeruginosa,AMK,-0.5031
P. aeruginosa,AZT,-1.5741
P. aeruginosa,CAZ,0.6376
P. aeruginosa,CIP,-0.4313
P. aeruginosa,COL,-0.1688
P. aeruginosa,IMP,-0.084
P. aeruginosa,LEV,-0.4768
P. aeruginosa,MER,0.1084
P. aeruginosa,PIP,-5.0321
P. aeruginosa,PIT,121.9122
P. aeruginosa,TOB,-0.3995
E. coli,AMK,0.6387
E. coli,AMS,12.9583
E. coli,AZT,-0.7466
E. coli,CAZ,-0.6136
E. coli,CIP,-0.2622
E. coli,COL,-0.5326
E. coli,CTX,-0.4365
E. coli,CXM,-6.3978
E. coli,FOS,3.0496
E. coli,GEN,-0.1596
E. coli,IMP,-0.1162
E. coli,LEV,-0.3409
E. coli,MER,-0.0349
E. coli,MOX,-0.6072
E. coli,PIP,17.6547
E. coli,PIT,-0.7268
E. coli,SXT,-2.2238
E. coli,TOB,0.0531
Ent. faecalis,AMS,-1.1998
Ent. faecalis,IMP,-1.2217
Ent. faecalis,LIZ,-0.4947
Ent. faecalis,PIP,30.4922
Ent. faecalis,PIT,-4.7908
Ent. faecalis,SXT,-0.2409
Ent. faecalis,TPL,-0.1177
Ent. faecalis,VAN,-0.641
P. aeruginosa,AMK,0.7782
P. aeruginosa,AZT,29.4777
P. aeruginosa,CAZ,30.3227
P. aeruginosa,CIP,0.0629
P. aeruginosa,COL,1.4074
P. aeruginosa,IMP,15.5986
P. aeruginosa,LEV,0.4024
P. aeruginosa,MER,3.8854
P. aeruginosa,PIP,108.6548
P. aeruginosa,PIT,59.7431
P. aeruginosa,TOB,0.1629
E. coli,AMK,0.5728
E. coli,AMS,-18.7079
E. coli,AZT,-0.951
E. coli,CAZ,-0.6264
E. coli,CIP,-0.4079
E. coli,COL,-0.2669
E. coli,CTX,-1.0592
E. coli,CXM,-16.7973
E. coli,FOS,-15.5584
E. coli,GEN,-0.2621
E. coli,IMP,-0.3628
E. coli,LEV,-0.5204
E. coli,MER,-0.0461
E. coli,MOX,-0.9855
E. coli,PIP,-3.1756
E. coli,PIT,-2.4059
E. coli,SXT,-3.5394
E. coli,TOB,0.0321
Ent. faecalis,AMS,-0.0561
Ent. faecalis,IMP,0.3946
Ent. faecalis,LIZ,1.129
Ent. faecalis,PIP,15.6059
Ent. faecalis,PIT,0.9822
Ent. faecalis,SXT,-0.1577
Ent. faecalis,TPL,-0.1635
Ent. faecalis,VAN,0.9973
E. coli,AMK,0.6937
E. coli,AMS,4.0981
E. coli,AZT,-0.2211
E. coli,CAZ,-0.2231
E. coli,CIP,-0.1533
E. coli,COL,-0.3542
E. coli,CTX,0.0734
E. coli,CXM,8.3086
E. coli,FOS,-4.2177
E. coli,GEN,-0.3426
E. coli,IMP,-0.2303
E. coli,LEV,-0.1652
E. coli,MER,-0.0185
E. coli,MOX,-0.2955
E. coli,PIP,-1.0548
E. coli,PIT,6.1705
E. coli,SXT,-1.4323
E. coli,TOB,0.0538
E. coli,AMK,-0.1321
E. coli,AMS,11.2312
E. coli,AZT,0.4002
E. coli,CAZ,0.3767
E. coli,CIP,7.9439
E. coli,COL,-0.3696
E. coli,CTX,0.091
E. coli,CXM,12.9408
E. coli,FOS,-4.5621
E. coli,GEN,0.1215
E. coli,IMP,-0.1349
E. coli,LEV,7.9168
E. coli,MER,0.1885
E. coli,MOX,7.8522
E. coli,PIP,27.719
E. coli,PIT,2.9392
E. coli,SXT,-0.3399
E. coli,TOB,0.1206
Ent. faecalis,AMS,-0.9365
Ent. faecalis,IMP,-0.858
Ent. faecalis,LIZ,0.046
Ent. faecalis,PIP,23.3372
Ent. faecalis,PIT,-2.4242
Ent. faecalis,SXT,-0.0676
Ent. faecalis,TPL,-0.1299
Ent. faecalis,VAN,-0.1189
S. aureus,AMK,-10.7353
S. aureus,AMS,-1.0338
S. aureus,CIP,-1.408
S. aureus,CLI,-1.2251
S. aureus,CTX,-7.3366
S. aureus,CXM,-14.1128
S. aureus,DOX,-0.3872
S. aureus,DPT,-0.2036
S. aureus,FOS,-12.424
S. aureus,GEN,-8.9736
S. aureus,IMP,-0.5655
S. aureus,LEV,-0.9648
S. aureus,LIZ,1.16
S. aureus,MER,-1.1711
S. aureus,MOX,-0.3297
S. aureus,PIT,-2.2289
S. aureus,RAM,-0.1637
S. aureus,ROX,-3.6629
S. aureus,SXT,-0.1642
S. aureus,TOB,2.8483
S. aureus,TPL,0.6988
S. aureus,VAN,0.0157
E. coli,AMK,-0.3494
E. coli,AMS,48.9813
E. coli,AZT,-0.3665
E. coli,CAZ,0.0346
E. coli,CIP,7.7118
E. coli,COL,-0.7173
E. coli,CTX,-0.0288
E. coli,CXM,6.094
E. coli,FOS,-1.5302
E. coli,GEN,-0.4043
E. coli,IMP,-0.262
E. coli,LEV,7.6198
E. coli,MER,-0.0248
E. coli,MOX,7.2813
E. coli,PIP,116.9446
E. coli,PIT,5.868
E. coli,SXT,29.702
E. coli,TOB,0.0396
Ent. faecalis,AMS,-9.5121
Ent. faecalis,IMP,-0.4698
Ent. faecalis,LIZ,-10.5352
Ent. faecalis,PIP,225.5345
Ent. faecalis,PIT,-3.3989
Ent. faecalis,SXT,-4.3663
Ent. faecalis,TPL,-3.4801
Ent. faecalis,VAN,-7.2957
E. coli,AMK,-0.0718
E. coli,AMS,-3.448
E. coli,AZT,-0.0087
E. coli,CAZ,-0.0284
E. coli,CIP,-0.0123
E. coli,COL,-0.6579
E. coli,CTX,-0.0144
E. coli,CXM,0.4879
E. coli,FOS,-5.9535
E. coli,GEN,0.1906
E. coli,IMP,-0.1346
E. coli,LEV,-0.0131
E. coli,MER,-0.0014
E. coli,MOX,-0.0554
E. coli,PIP,-2.4788
E. coli,PIT,0.8037
E. coli,SXT,-0.1392
E. coli,TOB,0.1646
S. aureus,AMK,-31.257
S. aureus,AMS,-0.5982
S. aureus,CIP,-1.5253
S. aureus,CLI,-2.5301
S. aureus,CTX,-6.8613
S. aureus,CXM,-20.5942
S. aureus,DOX,-1.0524
S. aureus,DPT,0.1407
S. aureus,FOS,-20.2873
S. aureus,GEN,-27.777
S. aureus,IMP,-0.6625
S. aureus,LEV,-1.0635
S. aureus,LIZ,0.0879
S. aureus,MER,-1.5463
S. aureus,MOX,-0.2739
S. aureus,PIT,-3.0426
S. aureus,RAM,-0.3155
S. aureus,ROX,-5.0549
S. aureus,SXT,-0.1678
S. aureus,TOB,11.0561
S. aureus,TPL,0.2276
S. aureus,VAN,-0.0387
Ent. faecalis,AMS,1.0513
Ent. faecalis,IMP,1.2705
Ent. faecalis,LIZ,0.011
Ent. faecalis,PIP,34.8448
Ent. faecalis,PIT,12.9726
Ent. faecalis,SXT,1.7772
Ent. faecalis,TPL,-0.1222
Ent. faecalis,VAN,-0.0876
Ent. faecalis,AMS,1.6951
Ent. faecalis,IMP,1.8965
Ent. faecalis,LIZ,0.1192
Ent. faecalis,PIP,28.4752
Ent. faecalis,PIT,15.2249
Ent. faecalis,SXT,3.8845
Ent. faecalis,TPL,-0.1664
Ent. faecalis,VAN,0.0797
S. aureus,AMK,-122.4324
S. aureus,AMS,-1.7698
S. aureus,CIP,-2.3099
S. aureus,CLI,-9.679
S. aureus,CTX,-13.6693
S. aureus,CXM,-58.9961
S. aureus,DOX,-2.7063
S. aureus,DPT,-0.6554
S. aureus,FOS,-52.6246
S. aureus,GEN,-198.9127
S. aureus,IMP,-1.7613
S. aureus,LEV,-1.9253
S. aureus,LIZ,0.0414
S. aureus,MER,-4.7915
S. aureus,MOX,-0.509
S. aureus,PIT,-6.0508
S. aureus,RAM,-0.9033
S. aureus,ROX,-11.5958
S. aureus,SXT,-0.2523
S. aureus,TOB,7.1647
S. aureus,TPL,-0.1285
S. aureus,VAN,-0.6209
S. aureus,AMK,-169.0826
S. aureus,AMS,-1.3726
S. aureus,CIP,-1.9459
S. aureus,CLI,-11.614
S. aureus,CTX,-13.1625
S. aureus,CXM,-58.1929
S. aureus,DOX,-3.1786
S. aureus,DPT,-0.2595
S. aureus,FOS,-28.2255
S. aureus,GEN,-288.8331
S. aureus,IMP,-1.4626
S. aureus,LEV,-1.6109
S. aureus,LIZ,0.9822
S. aureus,MER,-4.2133
S. aureus,MOX,-0.4832
S. aureus,PIT,-4.1481
S. aureus,RAM,-1.1369
S. aureus,ROX,-11.2068
S. aureus,SXT,31.7126
S. aureus,TOB,16.0741
S. aureus,TPL,0.7635
S. aureus,VAN,-0.1486
P. aeruginosa,AMK,-1.0752
P. aeruginosa,AZT,0.4865
P. aeruginosa,CAZ,0.8596
P. aeruginosa,CIP,-0.1163
P. aeruginosa,COL,0.2996
P. aeruginosa,IMP,1.6037
P. aeruginosa,LEV,-0.0023
P. aeruginosa,MER,0.893
P. aeruginosa,PIP,-13.4989
P. aeruginosa,PIT,0.5546
P. aeruginosa,TOB,-0.3448
P. aeruginosa,AMK,-0.2778
P. aeruginosa,AZT,1.0205
P. aeruginosa,CAZ,0.2038
P. aeruginosa,CIP,1.8695
P. aeruginosa,COL,0.2842
P. aeruginosa,IMP,1.6498
P. aeruginosa,LEV,3.8123
P. aeruginosa,MER,0.4024
P. aeruginosa,PIP,-11.7368
P. aeruginosa,PIT,-0.8505
P. aeruginosa,TOB,-0.332
S. aureus,AMK,-36.9886
S. aureus,AMS,-0.8593
S. aureus,CIP,-1.0374
S. aureus,CLI,-2.6772
S. aureus,CTX,-6.7553
S. aureus,CXM,-19.6003
S. aureus,DOX,-1.1805
S. aureus,DPT,-0.3975
S. aureus,FOS,-21.7174
S. aureus,GEN,-33.7141
S. aureus,IMP,-0.6069
S. aureus,LEV,-0.8205
S. aureus,LIZ,1.061
S. aureus,MER,-1.4622
S. aureus,MOX,-0.176
S. aureus,PIT,-2.7506
S. aureus,RAM,-0.3561
S. aureus,ROX,-5.6095
S. aureus,SXT,-0.1584
S. aureus,TOB,15.3004
S. aureus,TPL,-0.1383
S. aureus,VAN,-0.5515
P. aeruginosa,AMK,0.6149
P. aeruginosa,AZT,4.3322
P. aeruginosa,CAZ,1.652
P. aeruginosa,CIP,0.0097
P. aeruginosa,COL,0.3525
P. aeruginosa,IMP,0.5065
P. aeruginosa,LEV,0.6639
P. aeruginosa,MER,-0.0653
P. aeruginosa,PIP,-19.3836
P. aeruginosa,PIT,2.9474
P. aeruginosa,TOB,-0.1614
S. aureus,AMK,-4.5774
S. aureus,AMS,-0.4532
S. aureus,CIP,-0.954
S. aureus,CLI,-0.2541
S. aureus,CTX,-2.1369
S. aureus,CXM,-4.4051
S. aureus,DOX,-0.0449
S. aureus,DPT,0.4465
S. aureus,FOS,-3.4928
S. aureus,GEN,-1.5935
S. aureus,IMP,-0.1605
S. aureus,LEV,-0.325
S. aureus,LIZ,1.1693
S. aureus,MER,-0.3154
S. aureus,MOX,-0.1417
S. aureus,PIT,-1.2342
S. aureus,RAM,-0.0593
S. aureus,ROX,-1.8516
S. aureus,SXT,-0.094
S. aureus,TOB,12.5056
S. aureus,TPL,0.1905
S. aureus,VAN,0.0733
E. coli,AMK,1.1564
E. coli,AMS,0.9245
E. coli,AZT,0.1024
E. coli,CAZ,0.0906
E. coli,CIP,0.0129
E. coli,COL,0.2283
E. coli,CTX,0.0271
E. coli,CXM,3.0883
E. coli,FOS,4.6019
E. coli,GEN,0.8556
E. coli,IMP,0.3919
E. coli,LEV,0.0261
E. coli,MER,0.0199
E. coli,MOX,0.0083
E. coli,PIP,0.5421
E. coli,PIT,0.4527
E. coli,SXT,0.0451
E. coli,TOB,0.7505
P. aeruginosa,AMK,-0.2414
P. aeruginosa,AZT,6.8542
P. aeruginosa,CAZ,1.1047
P. aeruginosa,CIP,0.0349
P. aeruginosa,COL,0.323
P. aeruginosa,IMP,0.6499
P. aeruginosa,LEV,0.3654
P. aeruginosa,MER,-0.037
P. aeruginosa,PIP,-6.0844
P. aeruginosa,PIT,0.9593
P. aeruginosa,TOB,-0.1195
E. coli,AMK,6.7457
E. coli,AMS,51.6405
E. coli,AZT,-0.4241
E. coli,CAZ,-0.3731
E. coli,CIP,-0.1055
E. coli,COL,-0.2625
E. coli,CTX,-0.2642
E. coli,CXM,-1.9646
E. coli,FOS,4.7201
E. coli,GEN,0.4946
E. coli,IMP,-0.0568
E. coli,LEV,-0.1421
E. coli,MER,-0.0246
E. coli,MOX,-0.2316
E. coli,PIP,117.5915
E. coli,PIT,61.7786
E. coli,SXT,0.0373
E. coli,TOB,1.6007
P. aeruginosa,AMK,0.4806
P. aeruginosa,AZT,6.2228
P. aeruginosa,CAZ,0.6505
P. aeruginosa,CIP,-0.7039
P. aeruginosa,COL,0.2002
P. aeruginosa,IMP,31.5271
P. aeruginosa,LEV,-0.7694
P. aeruginosa,MER,1.885
P. aeruginosa,PIP,-18.9648
P. aeruginosa,PIT,-2.7353
P. aeruginosa,TOB,-0.2662
S. aureus,AMK,-1.1155
S. aureus,AMS,-0.3921
S. aureus,CIP,0.1335
S. aureus,CLI,-0.0535
S. aureus,CTX,-1.2195
S. aureus,CXM,-2.351
S. aureus,DOX,-0.1047
S. aureus,DPT,-0.2053
S. aureus,FOS,28.7532
S. aureus,GEN,-0.4524
S. aureus,IMP,-0.0984
S. aureus,LEV,-0.4657
S. aureus,LIZ,0.2188
S. aureus,MER,-0.1794
S. aureus,MOX,-0.1197
S. aureus,PIT,-0.9874
S. aureus,RAM,-0.0243
S. aureus,ROX,-0.6817
S. aureus,SXT,-0.0804
S. aureus,TOB,8.7328
S. aureus,TPL,0.1654
S. aureus,VAN,0.1199
S. aureus,AMK,1.6265
S. aureus,AMS,-0.0073
S. aureus,CIP,0.2101
S. aureus,CLI,0.0507
S. aureus,CTX,0.1979
S. aureus,CXM,1.7711
S. aureus,DOX,0.1753
S. aureus,DPT,0.3384
S. aureus,FOS,-0.7947
S. aureus,GEN,0.2097
S. aureus,IMP,0.023
S. aureus,LEV,0.1289
S. aureus,LIZ,1.4711
S. aureus,MER,0.0295
S. aureus,MOX,0.0927
S. aureus,PIT,0.7192
S. aureus,RAM,0.0089
S. aureus,ROX,0.3181
S. aureus,SXT,-0.0189
S. aureus,TOB,68.4208
S. aureus,TPL,0.2345
S. aureus,VAN,0.5275
E. coli,AMK,0.9132
E. coli,AMS,59.6073
E. coli,AZT,0.0108
E. coli,CAZ,-0.0108
E. coli,CIP,0.216
E. coli,COL,-0.5638
E. coli,CTX,-0.0071
E. coli,CXM,0.7836
E. coli,FOS,-1.7938
E. coli,GEN,0.1733
E. coli,IMP,0.056
E. coli,LEV,0.1971
E. coli,MER,0.0002
E. coli,MOX,0.4123
E. coli,PIP,123.7278
E. coli,PIT,2.88
E. coli,SXT,0.0059
E. coli,TOB,-0.0983
P. aeruginosa,AMK,-0.1943
P. aeruginosa,AZT,0.6466
P. aeruginosa,CAZ,1.9065
P. aeruginosa,CIP,0.0803
P. aeruginosa,COL,0.446
P. aeruginosa,IMP,0.5858
P. aeruginosa,LEV,0.1772
P. aeruginosa,MER,-0.0575
P. aeruginosa,PIP,-17.1545
P. aeruginosa,PIT,-0.7993
P. aeruginosa,TOB,-0.0661
P. aeruginosa,AMK,0.8404
P. aeruginosa,AZT,6.1992
P. aeruginosa,CAZ,2.7388
P. aeruginosa,CIP,0.2131
P. aeruginosa,COL,0.4136
P. aeruginosa,IMP,0.6444
P. aeruginosa,LEV,0.9395
P. aeruginosa,MER,-0.0435
P. aeruginosa,PIP,-7.4803
P. aeruginosa,PIT,4.3318
P. aeruginosa,TOB,-0.0647
P. aeruginosa,AMK,0.7101
P. aeruginosa,AZT,6.8155
P. aeruginosa,CAZ,1.0702
P. aeruginosa,CIP,-0.014
P. aeruginosa,COL,1.2962
P. aeruginosa,IMP,0.6329
P. aeruginosa,LEV,0.3004
P. aeruginosa,MER,0.1486
P. aeruginosa,PIP,-7.1233
P. aeruginosa,PIT,0.9052
P. aeruginosa,TOB,0.1047
P. aeruginosa,AMK,2.6266
P. aeruginosa,AZT,14.3793
P. aeruginosa,CAZ,2.7828
P. aeruginosa,CIP,0.2348
P. aeruginosa,COL,1.2777
P. aeruginosa,IMP,1.5828
P. aeruginosa,LEV,-0.1114
P. aeruginosa,MER,0.3905
P. aeruginosa,PIP,-3.0027
P. aeruginosa,PIT,4.441
P. aeruginosa,TOB,0.0676
E. coli,AMK,0.7439
E. coli,AMS,51.3692
E. coli,AZT,-0.4503
E. coli,CAZ,-0.3922
E. coli,CIP,-0.1062
E. coli,COL,-0.5086
E. coli,CTX,-0.2817
E. coli,CXM,-6.2785
E. coli,FOS,-11.0511
E. coli,GEN,-0.0071
E. coli,IMP,-0.0601
E. coli,LEV,-0.1432
E. coli,MER,-0.0254
E. coli,MOX,-0.2795
E. coli,PIP,117.3572
E. coli,PIT,-0.2663
E. coli,SXT,31.0291
E. coli,TOB,-0.3364
E. coli,AMK,-1.3993
E. coli,AMS,-50.6617
E. coli,AZT,-3.3724
E. coli,CAZ,-2.2524
E. coli,CIP,-1.7936
E. coli,COL,-0.6708
E. coli,CTX,-3.5356
E. coli,CXM,-33.4978
E. coli,FOS,-20.7342
E. coli,GEN,-0.9668
E. coli,IMP,-0.5263
E. coli,LEV,-2.0696
E. coli,MER,-0.0712
E. coli,MOX,-4.0785
E. coli,PIP,-18.7391
E. coli,PIT,-3.0274
E. coli,SXT,-16.3484
E. coli,TOB,-0.3181
E. coli,AMK,-0.2049
E. coli,AMS,-7.4818
E. coli,AZT,-0.2537
E. coli,CAZ,-0.2405
E. coli,CIP,-0.0678
E. coli,COL,-0.5188
E. coli,CTX,-0.1498
E. coli,CXM,-3.5823
E. coli,FOS,-1.7229
E. coli,GEN,0.054
E. coli,IMP,0.2266
E. coli,LEV,-0.0913
E. coli,MER,-0.0178
E. coli,MOX,-0.1895
E. coli,PIP,-6.3525
E. coli,PIT,0.1121
E. coli,SXT,-0.5843
E. coli,TOB,0.6178
Ent. faecalis,AMS,-0.9707
Ent. faecalis,IMP,-0.9997
Ent. faecalis,LIZ,0.1273
Ent. faecalis,PIP,10.1361
Ent. faecalis,PIT,-2.0148
Ent. faecalis,SXT,-0.243
Ent. faecalis,TPL,-0.1594
Ent. faecalis,VAN,-0.0523
E. coli,AMK,1.066
E. coli,AMS,62.1561
E. coli,AZT,0.0847
E. coli,CAZ,0.0686
E. coli,CIP,7.9924
E. coli,COL,-0.5468
E. coli,CTX,0.0219
E. coli,CXM,0.5555
E. coli,FOS,3.9567
E. coli,GEN,511.7989
E. coli,IMP,0.1152
E. coli,LEV,7.9867
E. coli,MER,0.0135
E. coli,MOX,7.9798
E. coli,PIP,125.8234
E. coli,PIT,1.2926
E. coli,SXT,31.949
E. coli,TOB,7.713
P. aeruginosa,AMK,2.7322
P. aeruginosa,AZT,1.8106
P. aeruginosa,CAZ,0.4865
P. aeruginosa,CIP,0.0267
P. aeruginosa,COL,-0.131
P. aeruginosa,IMP,0.5938
P. aeruginosa,LEV,0.1024
P. aeruginosa,MER,-0.0505
P. aeruginosa,PIP,-15.2206
P. aeruginosa,PIT,-0.0197
P. aeruginosa,TOB,0.1353
S. aureus,AMK,-0.8487
S. aureus,AMS,-0.223
S. aureus,CIP,-0.6358
S. aureus,CLI,-0.1214
S. aureus,CTX,-0.5965
S. aureus,CXM,-1.3777
S. aureus,DOX,-0.0896
S. aureus,DPT,-0.1984
S. aureus,FOS,-2.195
S. aureus,GEN,-0.1367
S. aureus,IMP,-0.0385
S. aureus,LEV,-0.2998
S. aureus,LIZ,0.187
S. aureus,MER,-0.0878
S. aureus,MOX,-0.0725
S. aureus,PIT,-0.5806
S. aureus,RAM,-0.0199
S. aureus,ROX,-0.856
S. aureus,SXT,-0.0561
S. aureus,TOB,18.2731
S. aureus,TPL,-0.1959
S. aureus,VAN,-0.3785
S. aureus,AMK,0.9242
S. aureus,AMS,0.7588
S. aureus,CIP,0.5082
S. aureus,CLI,-0.0124
S. aureus,CTX,2.076
S. aureus,CXM,0.5857
S. aureus,DOX,0.1454
S. aureus,DPT,0.1003
S. aureus,FOS,2.2345
S. aureus,GEN,0.0832
S. aureus,IMP,0.0033
S. aureus,LEV,0.0265
S. aureus,LIZ,0.1882
S. aureus,MER,-0.0196
S. aureus,MOX,-0.0427
S. aureus,PIT,-0.0535
S. aureus,RAM,-0.0076
S. aureus,ROX,-0.4607
S. aureus,SXT,-0.0353
S. aureus,TOB,23.612
S. aureus,TPL,0.1762
S. aureus,VAN,0.1463
S. aureus,AMK,-13.4054
S. aureus,AMS,-0.2484
S. aureus,CIP,-0.9698
S. aureus,CLI,-1.0731
S. aureus,CTX,-4.1663
S. aureus,CXM,-9.3651
S. aureus,DOX,-0.5931
S. aureus,DPT,-0.4752
S. aureus,FOS,-3.8191
S. aureus,GEN,-8.5347
S. aureus,IMP,-0.3317
S. aureus,LEV,-0.6568
S. aureus,LIZ,0.1063
S. aureus,MER,-0.7254
S. aureus,MOX,-0.2011
S. aureus,PIT,-1.1153
S. aureus,RAM,-0.1665
S. aureus,ROX,28.0667
S. aureus,SXT,-0.1239
S. aureus,TOB,15.0671
S. aureus,TPL,-0.1564
S. aureus,VAN,0.0052
E. coli,AMK,0.6784
E. coli,AMS,-15.9264
E. coli,AZT,-0.6943
E. coli,CAZ,-0.5718
E. coli,CIP,-0.0757
E. coli,COL,-0.2635
E. coli,CTX,-0.4742
E. coli,CXM,-11.4807
E. coli,FOS,-9.063
E. coli,GEN,-0.0967
E. coli,IMP,-0.1006
E. coli,LEV,-0.0266
E. coli,MER,-0.0329
E. coli,MOX,0.018
E. coli,PIP,-12.3689
E. coli,PIT,-1.6487
E. coli,SXT,-1.578
E. coli,TOB,0.5745
E. coli,AMK,0.5608
E. coli,AMS,-24.5288
E. coli,AZT,-1.1979
E. coli,CAZ,-0.9235
E. coli,CIP,-0.4613
E. coli,COL,-0.2848
E. coli,CTX,-0.9527
E. coli,CXM,-11.7507
E. coli,FOS,-7.0657
E. coli,GEN,-0.5374
E. coli,IMP,-0.1715
E. coli,LEV,-0.582
E. coli,MER,-0.0445
E. coli,MOX,-1.1208
E. coli,PIP,-16.655
E. coli,PIT,-1.2761
E. coli,SXT,-3.9775
E. coli,TOB,0.0214
Ent. faecalis,AMS,-0.0683
Ent. faecalis,IMP,1.1963
Ent. faecalis,LIZ,1.0381
Ent. faecalis,PIP,29.8485
Ent. faecalis,PIT,0.6396
Ent. faecalis,SXT,0.2664
Ent. faecalis,TPL,-0.1302
Ent. faecalis,VAN,-0.0761
S. aureus,AMK,-135.7489
S. aureus,AMS,-3.0478
S. aureus,CIP,-3.5724
S. aureus,CLI,-12.6353
S. aureus,CTX,-19.3004
S. aureus,CXM,-88.9064
S. aureus,DOX,-2.8881
S. aureus,DPT,-0.6539
S. aureus,FOS,-63.763
S. aureus,GEN,-256.3769
S. aureus,IMP,-3.2084
S. aureus,LEV,-3.5533
S. aureus,LIZ,1.0971
S. aureus,MER,-8.6469
S. aureus,MOX,-1.0419
S. aureus,PIT,-10.2542
S. aureus,RAM,-0.9886
S. aureus,ROX,-15.0302
S. aureus,SXT,15.6007
S. aureus,TOB,-6.2991
S. aureus,TPL,-0.1453
S. aureus,VAN,-0.6171
Ent. faecalis,AMS,-1.584
Ent. faecalis,IMP,-1.4813
Ent. faecalis,LIZ,1.0902
Ent. faecalis,PIP,13.7735
Ent. faecalis,PIT,-6.4377
Ent. faecalis,SXT,-0.2976
Ent. faecalis,TPL,-0.1438
Ent. faecalis,VAN,0.8941
Ent. faecalis,AMS,1.4878
Ent. faecalis,IMP,3.7431
Ent. faecalis,LIZ,0.0656
Ent. faecalis,PIP,32.2636
Ent. faecalis,PIT,14.5467
