species,substance,delta
S. aureus,MER,-1.884
S. aureus,MOX,-0.4324
S. aureus,PIT,-3.9668
S. aureus,RAM,-0.2585
S. aureus,ROX,-5.9603
S. aureus,SXT,-0.1952
S. aureus,TOB,1.2933
S. aureus,TPL,0.7078
S. aureus,VAN,-0.016
P. aeruginosa,AMK,0.6929
P. aeruginosa,AZT,4.5751
P. aeruginosa,CAZ,1.8145
P. aeruginosa,CIP,0.1246
P. aeruginosa,COL,0.3878
P. aeruginosa,IMP,0.5422
P. aeruginosa,LEV,0.3141
P. aeruginosa,MER,0.8761
P. aeruginosa,PIP,-16.398
P. aeruginosa,PIT,-0.8815
P. aeruginosa,TOB,-0.1221
E. coli,AMK,-0.8367
E. coli,AMS,-59.3658
E. coli,AZT,-2.5639
E. coli,CAZ,-1.8617
E. coli,CIP,-6.6267
E. coli,COL,-0.8098
E. coli,CTX,-2.9495
E. coli,CXM,-36.6023
E. coli,FOS,-7.6726
E. coli,GEN,-1.5363
E. coli,IMP,-0.3773
E. coli,LEV,-6.7768
E. coli,MER,-0.0692
E. coli,MOX,-16.1297
E. coli,PIP,-4.3653
E. coli,PIT,-3.535
E. coli,SXT,-59.1917
E. coli,TOB,-0.4562
S. aureus,AMK,1.5564
S. aureus,AMS,-0.0339
S. aureus,CIP,7.6608
S. aureus,CLI,-0.003
S. aureus,CTX,1.4638
S. aureus,CXM,1.6176
S. aureus,DOX,-0.0112
S. aureus,DPT,-0.0852
S. aureus,FOS,6.7218
S. aureus,GEN,0.0123
S. aureus,IMP,0.0202
S. aureus,LEV,7.8551
S. aureus,LIZ,-0.1029
S. aureus,MER,0.0217
S. aureus,MOX,3.9617
S. aureus,PIT,0.6592
S. aureus,RAM,0.0068
S. aureus,ROX,0.2028
S. aureus,SXT,-0.0226
S. aureus,TOB,52.7916
S. aureus,TPL,0.2107
S. aureus,VAN,0.4292
P. aeruginosa,AMK,0.6334
P. aeruginosa,AZT,4.9206
P. aeruginosa,CAZ,-0.033
P. aeruginosa,CIP,-0.1522
P. aeruginosa,COL,0.3459
P. aeruginosa,IMP,0.5298
P. aeruginosa,LEV,0.1976
P. aeruginosa,MER,0.3768
P. aeruginosa,PIP,-16.8914
P. aeruginosa,PIT,-0.6826
P. aeruginosa,TOB,-0.1571
Ent. faecalis,AMS,-4.9039
Ent. faecalis,IMP,-1.2526
Ent. faecalis,LIZ,-4.571
Ent. faecalis,PIP,-22.6018
Ent. faecalis,PIT,-7.0738
Ent. faecalis,SXT,-1.5307
Ent. faecalis,TPL,-1.1683
Ent. faecalis,VAN,-3.7004
Ent. faecalis,AMS,3.7612
Ent. faecalis,IMP,3.9326
Ent. faecalis,LIZ,0.1435
Ent. faecalis,PIP,26.6579
Ent. faecalis,PIT,15.4236
Ent. faecalis,SXT,15.8999
Ent. faecalis,TPL,0.1969
Ent. faecalis,VAN,0.1141
Ent. faecalis,AMS,-0.0537
Ent. faecalis,IMP,1.2888
Ent. faecalis,LIZ,1.0741
Ent. faecalis,PIP,24.5171
Ent. faecalis,PIT,-1.1913
Ent. faecalis,SXT,-0.1647
Ent. faecalis,TPL,0.2324
Ent. faecalis,VAN,0.9535
S. aureus,AMK,-0.7377
S. aureus,AMS,0.0373
S. aureus,CIP,-0.5594
S. aureus,CLI,-0.1514
S. aureus,CTX,-1.2552
S. aureus,CXM,-1.512
S. aureus,DOX,-0.137
S. aureus,DPT,-0.2371
S. aureus,FOS,-3.1809
S. aureus,GEN,-0.4649
S. aureus,IMP,-0.0894
S. aureus,LEV,-0.3236
S. aureus,LIZ,1.1881
S. aureus,MER,-0.1755
S. aureus,MOX,-0.1057
S. aureus,PIT,-0.8856
S. aureus,RAM,-0.0327
S. aureus,ROX,-0.7551
S. aureus,SXT,-0.0751
S. aureus,TOB,13.8542
S. aureus,TPL,-0.1947
S. aureus,VAN,0.1033
E. coli,AMK,0.5732
E. coli,AMS,-19.4719
E. coli,AZT,-0.5773
E. coli,CAZ,-0.5047
E. coli,CIP,-0.4866
E. coli,COL,-0.6021
E. coli,CTX,-0.4231
E. coli,CXM,-11.0763
E. coli,FOS,-10.22
E. coli,GEN,0.2169
E. coli,IMP,-0.3067
E. coli,LEV,-0.603
E. coli,MER,-0.0324
E. coli,MOX,-1.1801
E. coli,PIP,-13.0083
E. coli,PIT,-1.4963
E. coli,SXT,-4.0462
E. coli,TOB,0.0045
P. aeruginosa,AMK,-37.1317
P. aeruginosa,AZT,-6.5458
P. aeruginosa,CAZ,-43.9805
P. aeruginosa,CIP,0.6004
P. aeruginosa,COL,-11.3365
P. aeruginosa,IMP,1.9916
P. aeruginosa,LEV,10.1724
P. aeruginosa,MER,4.8177
P. aeruginosa,PIP,-278.5218
P. aeruginosa,PIT,2.9112
P. aeruginosa,TOB,-59.5718
Ent. faecalis,AMS,-0.6192
Ent. faecalis,IMP,-0.096
Ent. faecalis,LIZ,-0.604
Ent. faecalis,PIP,15.9118
Ent. faecalis,PIT,-0.013
Ent. faecalis,SXT,-0.1188
Ent. faecalis,TPL,-0.1727
Ent. faecalis,VAN,0.037
E. coli,AMK,-1.0747
E. coli,AMS,-5.6119
E. coli,AZT,-0.3169
E. coli,CAZ,-0.3001
E. coli,CIP,-0.2235
E. coli,COL,-0.5876
E. coli,CTX,-0.2093
E. coli,CXM,-5.1037
E. coli,FOS,-7.2266
E. coli,GEN,-0.5537
E. coli,IMP,-0.2492
E. coli,LEV,-0.2888
E. coli,MER,-0.0226
E. coli,MOX,-0.4723
E. coli,PIP,117.7265
E. coli,PIT,-1.0337
E. coli,SXT,-1.8286
E. coli,TOB,0.0511
E. coli,AMK,0.6051
E. coli,AMS,-19.4704
E. coli,AZT,-0.8512
E. coli,CAZ,-0.6895
E. coli,CIP,-0.3425
E. coli,COL,-0.2916
E. coli,CTX,-0.629
E. coli,CXM,-11.819
E. coli,FOS,-5.3116
E. coli,GEN,-0.4649
E. coli,IMP,-0.3218
E. coli,LEV,-0.4385
E. coli,MER,-0.0377
E. coli,MOX,-0.847
E. coli,PIP,-13.62
E. coli,PIT,-1.8685
E. coli,SXT,-2.911
E. coli,TOB,0.0369
E. coli,AMK,0.725
E. coli,AMS,51.9253
E. coli,AZT,-0.3207
E. coli,CAZ,0.5767
E. coli,CIP,0.8462
E. coli,COL,-0.5509
E. coli,CTX,0.2663
E. coli,CXM,55.1517
E. coli,FOS,6.1975
E. coli,GEN,-0.0395
E. coli,IMP,-0.2373
E. coli,LEV,1.7856
E. coli,MER,-0.0218
E. coli,MOX,0.6199
E. coli,PIP,118.2551
E. coli,PIT,5.9656
E. coli,SXT,-0.2114
E. coli,TOB,0.0816
S. aureus,AMK,-6.9558
S. aureus,AMS,-0.2766
S. aureus,CIP,7.2313
S. aureus,CLI,-0.5008
S. aureus,CTX,-2.0604
S. aureus,CXM,-3.6474
S. aureus,DOX,-0.3877
S. aureus,DPT,-0.4035
S. aureus,FOS,-3.2299
S. aureus,GEN,-3.2984
S. aureus,IMP,-0.1122
S. aureus,LEV,15.5926
S. aureus,LIZ,0.0771
S. aureus,MER,-0.2648
S. aureus,MOX,3.891
S. aureus,PIT,-0.0981
S. aureus,RAM,-0.1021
S. aureus,ROX,-1.4989
S. aureus,SXT,-0.0744
S. aureus,TOB,27.166
S. aureus,TPL,-0.1487
S. aureus,VAN,0.0291
S. aureus,AMK,-8.5396
S. aureus,AMS,-0.4099
S. aureus,CIP,1.0595
S. aureus,CLI,-0.4923
S. aureus,CTX,-4.3629
S. aureus,CXM,-6.3427
S. aureus,DOX,-0.3826
S. aureus,DPT,-0.5173
S. aureus,FOS,24.2854
S. aureus,GEN,-3.4669
S. aureus,IMP,-0.1753
S. aureus,LEV,0.4558
S. aureus,LIZ,0.113
S. aureus,MER,-0.3785
S. aureus,MOX,0.3519
S. aureus,PIT,-1.2004
S. aureus,RAM,-0.1018
S. aureus,ROX,-2.3042
S. aureus,SXT,-0.0932
S. aureus,TOB,19.4641
S. aureus,TPL,-0.1608
S. aureus,VAN,-0.4648
S. aureus,AMK,-1.217
S. aureus,AMS,-0.4343
S. aureus,CIP,-0.6816
S. aureus,CLI,-0.2483
S. aureus,CTX,-1.6936
S. aureus,CXM,-2.3377
S. aureus,DOX,-0.1606
S. aureus,DPT,-0.0023
S. aureus,FOS,-3.7654
S. aureus,GEN,-0.6872
